Source,Target,Type,Id,Label,timeset,Weight,color
V_M_01,C1_TI_01,Undirected,459,,,100,#ff0000
V_SA_SAF_01,C1_TI_01,Undirected,253,,,100,#9900ff
V_SA_SG_01,C1_TI_01,Undirected,272,,,100,#ff9900
V_SA_SMC_04,C1_TI_01,Undirected,243,,,100,#9900ff
V_SE_06,C1_TI_01,Undirected,398,,,100,#00ffff
V_SE_07,C1_TI_01,Undirected,429,,,100,#00ffff
V_SE_08,C1_TI_01,Undirected,448,,,100,#00ffff
V_SA_SAF_01,C1_TI_02,Undirected,255,,,100,#9900ff
V_SA_SC_01,C1_TI_02,Undirected,10,,,100,#0000ff
V_SA_SC_03,C1_TI_02,Undirected,84,,,100,#0000ff
V_SA_SC_03,C1_TI_02,Undirected,172,,,100,#0000ff
V_SA_SC_05,C1_TI_02,Undirected,150,,,100,#0000ff
V_SA_SG_01,C1_TI_02,Undirected,278,,,100,#ff9900
V_SA_SMC_02,C1_TI_02,Undirected,205,,,100,#9900ff
V_SE_01,C1_TI_02,Undirected,318,,,100,#00ffff
V_SE_08,C1_TI_02,Undirected,455,,,100,#00ffff
V_SA_SAF_01,C1_TI_03,Undirected,249,,,100,#9900ff
V_SA_SC_01,C1_TI_03,Undirected,11,,,100,#0000ff
V_SA_SC_02,C1_TI_03,Undirected,31,,,100,#0000ff
V_SA_SC_03,C1_TI_03,Undirected,64,,,100,#0000ff
V_SA_SC_03,C1_TI_03,Undirected,155,,,100,#0000ff
V_SA_SC_04,C1_TI_03,Undirected,97,,,100,#0000ff
V_SA_SC_05,C1_TI_03,Undirected,129,,,100,#0000ff
V_SA_SG_01,C1_TI_03,Undirected,273,,,100,#ff9900
V_SA_SMC_02,C1_TI_03,Undirected,206,,,100,#9900ff
V_SA_SMC_03,C1_TI_03,Undirected,223,,,100,#9900ff
V_SA_SMC_04,C1_TI_03,Undirected,238,,,100,#9900ff
V_SE_01,C1_TI_03,Undirected,319,,,100,#00ffff
V_SE_06,C1_TI_03,Undirected,399,,,100,#00ffff
V_SE_07,C1_TI_03,Undirected,430,,,100,#00ffff
V_SA_SC_02,C1_TI_04,Undirected,40,,,100,#0000ff
V_SA_SC_03,C1_TI_04,Undirected,73,,,100,#0000ff
V_SA_SC_03,C1_TI_04,Undirected,156,,,100,#0000ff
V_SA_SC_04,C1_TI_04,Undirected,98,,,100,#0000ff
V_SA_SC_05,C1_TI_04,Undirected,130,,,100,#0000ff
V_SA_SG_01,C1_TI_04,Undirected,294,,,100,#ff9900
V_SA_SMC_03,C1_TI_04,Undirected,227,,,100,#9900ff
V_SE_01,C1_TI_04,Undirected,330,,,100,#00ffff
V_SE_06,C1_TI_04,Undirected,400,,,100,#00ffff
V_SE_07,C1_TI_04,Undirected,431,,,100,#00ffff
V_SA_SC_02,C1_TI_05,Undirected,41,,,100,#0000ff
V_SA_SC_04,C1_TI_05,Undirected,118,,,100,#0000ff
V_SA_SC_05,C1_TI_05,Undirected,146,,,100,#0000ff
V_SA_SG_01,C1_TI_05,Undirected,295,,,100,#ff9900
V_SE_01,C1_TI_05,Undirected,331,,,100,#00ffff
V_SA_SAF_01,C1_TI_06,Undirected,256,,,100,#9900ff
V_SA_SC_02,C1_TI_06,Undirected,42,,,100,#0000ff
V_SA_SC_03,C1_TI_06,Undirected,74,,,100,#0000ff
V_SA_SC_03,C1_TI_06,Undirected,157,,,100,#0000ff
V_SA_SC_04,C1_TI_06,Undirected,99,,,100,#0000ff
V_SA_SC_05,C1_TI_06,Undirected,131,,,100,#0000ff
V_SA_SG_01,C1_TI_06,Undirected,279,,,100,#ff9900
V_SE_01,C1_TI_06,Undirected,320,,,100,#00ffff
V_SE_05,C1_TI_06,Undirected,376,,,100,#00ffff
V_SE_08,C1_TI_06,Undirected,456,,,100,#00ffff
V_SE_08,C1_TI_07,Undirected,457,,,100,#00ffff
V_SA_SAF_01,C1_TI_08,Undirected,257,,,100,#9900ff
V_SA_SG_01,C1_TI_08,Undirected,280,,,100,#ff9900
V_SA_SMC_02,C1_TI_08,Undirected,211,,,100,#9900ff
V_SE_06,C1_TI_08,Undirected,401,,,100,#00ffff
V_SE_07,C1_TI_08,Undirected,432,,,100,#00ffff
V_M_01,C1_TI_09,Undirected,464,,,100,#ff0000
V_SA_SAF_01,C1_TI_09,Undirected,258,,,100,#9900ff
V_SA_SC_04,C1_TI_09,Undirected,122,,,100,#0000ff
V_SE_01,C1_TI_09,Undirected,340,,,100,#00ffff
V_SE_02,C1_TI_09,Undirected,358,,,100,#00ffff
V_SE_05,C1_TI_09,Undirected,377,,,100,#00ffff
V_SA_SAF_01,C1_TI_10,Undirected,250,,,100,#9900ff
V_SA_SC_01,C1_TI_10,Undirected,12,,,100,#0000ff
V_SA_SC_02,C1_TI_10,Undirected,32,,,100,#0000ff
V_SA_SC_03,C1_TI_10,Undirected,65,,,100,#0000ff
V_SA_SC_03,C1_TI_10,Undirected,158,,,100,#0000ff
V_SA_SC_04,C1_TI_10,Undirected,100,,,100,#0000ff
V_SA_SC_05,C1_TI_10,Undirected,132,,,100,#0000ff
V_SA_SG_01,C1_TI_10,Undirected,274,,,100,#ff9900
V_SA_SMC_03,C1_TI_10,Undirected,228,,,100,#9900ff
V_SA_SMC_04,C1_TI_10,Undirected,240,,,100,#9900ff
V_SE_01,C1_TI_10,Undirected,321,,,100,#00ffff
V_SE_02,C1_TI_10,Undirected,350,,,100,#00ffff
V_SE_06,C1_TI_10,Undirected,402,,,100,#00ffff
V_SE_07,C1_TI_10,Undirected,433,,,100,#00ffff
V_SA_SAF_01,C1_TI_11,Undirected,259,,,100,#9900ff
V_SA_SC_02,C1_TI_11,Undirected,43,,,100,#0000ff
V_SA_SC_04,C1_TI_11,Undirected,119,,,100,#0000ff
V_SA_SG_01,C1_TI_11,Undirected,281,,,100,#ff9900
V_SA_SC_04,C1_TI_12,Undirected,123,,,100,#0000ff
V_SA_SG_01,C1_TI_12,Undirected,296,,,100,#ff9900
V_SA_SAF_01,C1_TI_13,Undirected,260,,,100,#9900ff
V_SA_SC_02,C1_TI_13,Undirected,44,,,100,#0000ff
V_SA_SC_03,C1_TI_13,Undirected,75,,,100,#0000ff
V_SA_SC_03,C1_TI_13,Undirected,159,,,100,#0000ff
V_SA_SC_04,C1_TI_13,Undirected,101,,,100,#0000ff
V_SA_SC_05,C1_TI_13,Undirected,133,,,100,#0000ff
V_SA_SG_01,C1_TI_13,Undirected,282,,,100,#ff9900
V_SE_01,C1_TI_13,Undirected,322,,,100,#00ffff
V_SE_02,C1_TI_13,Undirected,351,,,100,#00ffff
V_SE_05,C1_TI_13,Undirected,378,,,100,#00ffff
V_SE_06,C1_TI_13,Undirected,391,,,100,#00ffff
V_SE_07,C1_TI_13,Undirected,422,,,100,#00ffff
V_SE_08,C1_TI_13,Undirected,449,,,100,#00ffff
V_SA_SC_02,C1_TI_14,Undirected,45,,,100,#0000ff
V_SA_SC_04,C1_TI_14,Undirected,120,,,100,#0000ff
V_SA_SC_05,C1_TI_14,Undirected,147,,,100,#0000ff
V_SA_SG_01,C1_TI_14,Undirected,297,,,100,#ff9900
V_SA_SMC_03,C1_TI_14,Undirected,229,,,100,#9900ff
V_SE_01,C1_TI_14,Undirected,332,,,100,#00ffff
V_SE_05,C1_TI_14,Undirected,379,,,100,#00ffff
V_SA_SC_01,C1_TI_15,Undirected,13,,,100,#0000ff
V_SA_SC_02,C1_TI_15,Undirected,33,,,100,#0000ff
V_SA_SC_03,C1_TI_15,Undirected,66,,,100,#0000ff
V_SA_SC_03,C1_TI_15,Undirected,160,,,100,#0000ff
V_SA_SC_04,C1_TI_15,Undirected,102,,,100,#0000ff
V_SA_SC_05,C1_TI_15,Undirected,134,,,100,#0000ff
V_SA_SG_01,C1_TI_15,Undirected,298,,,100,#ff9900
V_SA_SMC_02,C1_TI_15,Undirected,207,,,100,#9900ff
V_SE_06,C1_TI_15,Undirected,403,,,100,#00ffff
V_SE_07,C1_TI_15,Undirected,434,,,100,#00ffff
V_SA_SC_02,C1_TI_16,Undirected,46,,,100,#0000ff
V_SA_SC_03,C1_TI_16,Undirected,76,,,100,#0000ff
V_SA_SC_03,C1_TI_16,Undirected,185,,,100,#0000ff
V_SA_SG_01,C1_TI_16,Undirected,299,,,100,#ff9900
V_SA_SMC_02,C1_TI_16,Undirected,212,,,100,#9900ff
V_SE_06,C1_TI_16,Undirected,404,,,100,#00ffff
V_SA_SAF_01,C1_TI_17,Undirected,261,,,100,#9900ff
V_SA_SAF_01,C1_TI_18,Undirected,262,,,100,#9900ff
V_SA_SC_02,C1_TI_18,Undirected,47,,,100,#0000ff
V_SA_SC_03,C1_TI_18,Undirected,77,,,100,#0000ff
V_SA_SC_03,C1_TI_18,Undirected,182,,,100,#0000ff
V_SA_SC_04,C1_TI_18,Undirected,103,,,100,#0000ff
V_SA_SG_01,C1_TI_18,Undirected,283,,,100,#ff9900
V_SE_01,C1_TI_18,Undirected,323,,,100,#00ffff
V_SE_06,C1_TI_18,Undirected,405,,,100,#00ffff
V_SE_07,C1_TI_18,Undirected,435,,,100,#00ffff
V_SE_08,C1_TI_18,Undirected,450,,,100,#00ffff
V_SA_SC_02,C1_TI_19,Undirected,48,,,100,#0000ff
V_SA_SC_04,C1_TI_19,Undirected,121,,,100,#0000ff
V_SA_SC_05,C1_TI_19,Undirected,148,,,100,#0000ff
V_SA_SG_01,C1_TI_19,Undirected,300,,,100,#ff9900
