Id,Label,Group number,Group name,timeset,interval,variable psy,stratégie,SA,SA-SC,SA-SC-PAO,plans d'action organisés,SA-SC-AS,activités de sélection,SA-SC-AO,activités d'organisation,SA-SC-AÉ,activité d'élaboration,SA-SC-AR,activités de révision,SA-SMC,SA-SMC-ÉA,"évaluation de son 
apprentissage",SA-SMC-PA,"planification de son 
apprentissage",SA-SMC-CA,"contrôle de son 
apprentissage",SA-SMC-RA,"régulation de son 
apprentissage",SA-SAF,"création ou maintien climat 
d'apprentissage positif",SA-SGR,"ressources temporelles, 
humaines, matérielles
mobilisées pour 
l'apprentissage",SEC,SEP-SEC-MC,maîtriser ses connaissances / compétences,SEP-SEC-PAP,soutenir la perception d'une acquisition progressive,SEP-SEC-OI,identifier des objectifs intermédiaires pour atteindre l'objectif final,SEP-SEC-OF,identifier l'objectif final,SEP-SEC-EAM,"expériences actives de maîtrise (performances antérieures, succès, échecs)",SEP-SEC-EV,"expériences vicariantes (modelage, comparaison sociale)",SEP-SEC-PV,"persuasion verbale (feed-back évaluatifs, encouragements, avis de personnes signifiantes)",SEP-SEC-ÉPÉ,états physiologiques et émotionnels,MOT,soutenir le développement de ressources propres,nombre de rubriques,nombre d'items (sujets),nombre d'inter-liens,niveau de profondeur maximum,visuels,color,var_size
V_01,Stratégies d'apprentissage,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,,49.12587413,58.84615385,42.30769231,1,63.46153846,1,63.46153846,1,75.00,1,50.00,1,28.36538462,21.15384615,1,34.61538462,1,34.61538462,1,23.07692308,1,88.46153846,1,44.23076923,1,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#0000ff,49.12587413
V_02,SEP / SEC,,,,"<[-Infinity, Infinity]>",SEP / SEC,,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,34.85576923,55.76923077,1,36.53846154,1,7.692307692,1,7.692307692,1,28.84615385,1,65.38461538,1,55.76923077,1,21.15384615,1,,0,,,,,,#00ffff,34.85576923
V_03,Motivation,,,,"<[-Infinity, Infinity]>",Motivation,,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,11.53846154,1,,,,,,#ff0000,11.53846154
V_SA_01,Stratégies cognitives,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,,,58.84615385,42.30769231,1,63.46153846,1,63.46153846,1,75,1,50,1,,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#0000ff,58.84615385
V_SA_02,Stratégies métacognitives,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,,,,,0,,0,,0,,0,,0,28.36538462,21.15384615,1,34.61538462,1,34.61538462,1,23.07692308,1,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#9900ff,28.36538462
V_SA_03,Stratégies affectives,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,88.46153846,1,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#ff00ff,88.46153846
V_SA_04,Stratégies de gestion,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,44.23076923,1,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#ff9900,44.23076923
V_SA_SC_01,Plans d'action organisés,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies cognitives,,,42.30769231,1,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#0000ff,42.31
V_SA_SC_02,Activités de sélection,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies cognitives,,,,0,63.46153846,1,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#0000ff,63.46
V_SA_SC_03,Activités d'organisation,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies cognitives,,,,0,,0,63.46153846,1,,0,,0,,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#0000ff,75.00
V_SA_SC_04,Activité d'élaboration,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies cognitives,,,,0,,0,,0,75,1,,0,,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#0000ff,75.00
V_SA_SC_05,Activités de révision,,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies cognitives,,,,0,,0,,0,,0,50,1,,,0,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#0000ff,50.00
V_SA_SMC_01,"Évaluation de son 
apprentissage",,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies métacognitives,,,,0,,0,,0,,0,,0,,21.15384615,1,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#9900ff,21.15
V_SA_SMC_02,"Planification de son 
apprentissage",,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies métacognitives,,,,0,,0,,0,,0,,0,,,0,34.61538462,1,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#9900ff,34.62
V_SA_SMC_03,"Contrôle de son 
apprentissage",,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies métacognitives,,,,0,,0,,0,,0,,0,,,0,,0,34.61538462,1,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#9900ff,34.62
V_SA_SMC_04,"Régulation de son 
apprentissage",,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies métacognitives,,,,0,,0,,0,,0,,0,,,0,,0,,0,23.07692308,1,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#9900ff,23.08
V_SA_SAF_01,"Création ou maintien climat 
d'apprentissage positif",,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies affectives,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,88.46153846,1,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#ff00ff,88.46
V_SA_SG_01,"Ressources temporelles, 
humaines, matérielles
mobilisées pour 
l'apprentissage",,,,"<[-Infinity, Infinity]>",Stratégies d'apprentissage,Stratégies de gestion,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,44.23076923,1,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#ff9900,44.23
V_SE_01,Maîtriser ses connaissances / compétences,,,,"<[-Infinity, Infinity]>",SEP / SEC,,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,55.76923077,1,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,#00ffff,55.77
V_SE_02,Soutenir la perception d'une acquisition progressive,,,,"<[-Infinity, Infinity]>",SEP / SEC,,,,,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,,0,36.53846154,1,,0,,0,,0,,0,,0,,0,,0,,,,,,#00ffff,36.54
